word,Count
abbreviation,1
ability,1
accede,1
access,3
accident,1
accord,1
account,1
accounted,2
accountid,1
accounting,1
accounts,1
accusations,1
accused,1
achieved,2
acknowledged,2
action,1
actions,2
actionso,1
actionswhere,1
active,1
activist,1
activity,1
actors,2
adamant,1
adapt,1
addedcrypto,1
adding,2
administer,1
adopted,1
ads,11
adslittle,1
advertising,17
advertisingchina,1
advertisingthe,1
adverts,3
advice,1
advisory,1
affect,1
affected,4
affirmative,1
afford,1
africas,1
afterwhile,1
age,1
agencies,2
agency,2
agencyfinancial,1
aggregateiq,1
aggressive,1
agree,2
agreed,1
agreement,1
aimed,3
aims,1
airline,2
airplane,1
airport,1
akzo,1
alexander,1
algorithmic,1
algorithms,1
alibaba,1
allegations,1
alleged,1
allocation,1
allowed,2
allows,1
almostperfect,1
alone,2
aloneit,1
along,2
alphabet,1
alphabets,1
although,2
altogether,1
ambitious,1
amd,1
america,2
american,4
americanbased,1
americans,2
amounted,1
amounts,2
analyst,3
analysts,3
analytica,2
analyticacritics,1
analytics,1
andrew,3
angry,1
announcement,1
ante,1
antitrust,1
anxious,1
app,2
appeal,1
appears,1
applicationsatlanta,1
applied,1
apply,2
applying,2
approach,2
apps,6
arcbut,1
arent,1
argue,2
argued,1
argues,1
arguments,1
arizona,2
arlington,1
arm,1
arms,1
arnaud,1
arrest,1
arrests,1
articles,1
artificial,1
asia,1
asias,1
ask,1
asking,1
assailants,1
assault,3
asset,2
assets,2
assetsmaybe,1
association,2
assume,1
asx,1
athletebook,1
atlantabased,1
atlantas,1
attack,13
attacked,1
attackers,3
attacking,1
attacks,5
attacksthe,1
attackthe,1
attain,1
attempted,1
attempts,1
attorney,1
attorneys,1
attract,1
audi,1
australias,1
authorities,3
authoritiesalso,1
authority,2
authors,1
auto,1
autocrats,1
automakers,1
automated,3
automatic,1
automatically,1
automotive,1
autonomous,1
average,3
avoid,1
avon,1
awaiting,1
axios,1
baby,1
backers,1
bad,3
baidu,1
bail,1
balance,2
baltimore,1
ban,5
band,2
banding,1
bank,34
banker,4
bankers,5
banking,3
bankrupt,1
bankruptcy,2
banks,11
banksnapchat,1
bankwilliam,1
banned,2
banning,1
bans,2
bare,1
barington,1
barometer,1
barrage,1
base,1
based,3
beating,1
became,5
becoming,1
beef,1
began,2
begin,2
beginning,1
behavior,1
beijing,1
believe,2
believed,4
believes,1
belonged,1
benefit,1
benefits,1
bet,1
betters,1
betting,2
betweenthere,1
beyond,1
bickers,1
big,6
bigger,1
biggest,5
bill,1
billboards,3
billion,10
billionamazon,1
billions,2
billkarpeles,1
bills,1
bin,1
binary,6
bitcoin,21
bitcoinbtsp,1
bitcoininvestec,1
bitcoins,2
bitflyer,1
blame,1
blamed,1
blanket,1
blankfein,1
blockchain,13
blockchainbased,1
blockchainreuters,1
blocking,2
blocks,1
blog,1
bloomberg,1
bloombergview,1
blue,1
blythe,1
bnp,3
board,2
boards,2
body,2
boeing,6
boeings,2
bond,1
bonds,2
bonus,2
book,2
bookkeeper,1
boom,3
bottomup,1
bought,1
brakes,1
breachesexperts,1
break,2
breakingviews,1
brexit,2
brexitbound,1
britains,6
british,2
broader,1
broadly,1
broker,2
brokers,1
brokersthat,1
brookfield,1
brother,1
brought,3
build,2
built,3
bull,1
bullish,1
bully,1
bumble,1
bund,1
bunds,1
bureau,1
busiest,1
business,11
businesses,3
businessso,1
button,1
buy,6
buyers,1
buying,1
buzzfeed,1
calculation,1
calculations,1
calif,1
california,1
call,2
calls,1
cambridge,3
came,2
campaign,1
canada,2
candidate,1
cannot,1
cant,3
capital,7
capitalist,1
capitals,1
caps,1
car,3
careful,1
carefully,1
carlyle,1
carried,1
cars,2
carsnvidias,1
case,3
cases,3
cash,1
casts,1
casualties,1
catch,1
category,1
catering,1
cause,1
causing,1
cautious,1
center,2
central,3
centralized,2
ceo,10
ceos,1
certain,2
certainly,1
cfd,1
cfds,4
chains,1
chair,1
chairas,1
chairman,2
chairs,2
challenge,1
challenges,1
chamber,1
chances,1
changed,1
changejanuary,1
changes,5
changing,2
charges,1
charlie,1
charts,1
chase,5
chatrooms,2
cheaply,1
chemicals,1
chernobyl,1
chiefyou,1
child,1
china,8
chinese,4
chip,2
choicein,1
choosing,2
choppy,1
chosen,1
chuckle,1
cisco,2
cities,1
citigroup,1
citing,1
citis,1
citron,1
citycounty,1
citythe,1
claims,2
clara,2
clean,1
cleaner,1
cleanup,1
clearing,4
clearly,1
client,4
clients,4
climate,1
clock,1
clogged,1
close,1
closing,1
cloudbased,1
clusters,1
clutterin,1
cmc,1
cnbc,1
coaster,1
code,2
codenamed,1
coffee,1
cohead,1
cohen,1
coin,2
coincheck,2
coins,1
cold,1
collapsed,1
collateral,1
colleagues,1
collective,2
collectiveransomware,1
colombian,1
colorado,2
column,1
combat,1
comes,1
commerce,1
commercial,1
commission,1
