word,Count
aba,2
abating,1
abbe,1
abbreviation,1
abc,8
abertis,1
abide,1
abilities,1
ability,1
abortion,1
aboutmania,1
aboutpolitics,1
above,13
abruptly,1
absolute,1
absorb,4
abstract,1
abuse,1
abused,1
abusesin,1
abusing,1
abyssin,1
academy,2
academylauded,1
accelerate,1
acceleration,1
accepted,1
accepting,1
access,4
accident,1
acclaimed,1
accommodate,1
accompli,1
account,5
accounted,1
accounting,1
accounts,1
accurate,1
accusation,1
accusations,1
accused,5
achilles,1
ackman,1
acknowledged,2
acquire,2
acquired,6
acquiring,2
acquisition,11
acquisitions,1
acs,1
action,4
actions,2
active,1
activist,2
activities,1
activity,1
actor,1
actress,1
acts,1
acuity,1
acumen,1
acute,1
adage,1
adapt,2
adaptabilityhe,1
adaptable,1
adaptation,2
adaptations,1
adapting,1
add,3
added,9
addictionmr,1
adding,4
addition,7
additional,1
addressed,1
addressing,1
adds,3
adequately,1
adler,2
administration,14
administrations,1
administrationthe,1
administrator,4
admission,1
adolf,1
adopted,2
adp,1
ads,4
adsupported,1
adults,2
advanced,1
advantage,4
adventure,1
advertisements,1
advertising,9
advertisingone,1
adviser,7
advisory,2
advocate,2
aetna,1
affairs,2
affect,2
affected,2
affects,1
affluent,1
affordable,1
aforementioned,1
afraid,1
africa,2
african,4
africanamerican,1
africas,1
aftermath,1
afternoon,6
afterward,3
agatha,1
age,7
agei,1
agency,4
agendaelsewhere,1
agent,2
aggressive,3
aggressively,3
agree,1
agreed,9
agreeing,1
agreement,2
aheadhere,1
aheadregulationthe,1
aide,1
aim,2
aiming,1
aims,2
air,4
airbus,1
aires,1
airline,1
airplanes,1
airtight,1
airworkers,1
akin,1
ala,1
alabama,1
alassad,1
albeit,1
alert,1
alexa,11
alfonso,1
algorithmdominated,1
algorithms,2
algotorial,1
alibaba,4
alibabas,1
alike,1
alison,1
alist,1
allaccess,1
allbut,1
allegations,5
allegedly,6
allegory,1
allgirls,1
alliances,1
allies,3
allowed,3
allowing,3
allows,1
alone,2
along,4
alongside,1
alphabets,1
alternative,1
although,3
alto,1
aluminum,3
alvi,1
alwaleed,1
amanpour,4
amass,1
amazing,1
amazingly,1
amazonamazon,1
amazonbasics,1
amazonfresh,2
amazonhe,1
amazonmore,1
amazons,9
amazonwere,1
ambitious,1
amc,1
amd,1
amend,1
america,1
americamany,1
american,25
americans,2
americas,3
americasfor,1
amid,1
amigos,1
amisha,1
amount,4
amountpanic,1
amphibian,1
amy,3
analog,1
analysis,2
analyst,9
analysts,6
analystten,1
anchor,1
ancient,2
anderson,1
andrei,1
andrew,7
android,5
angela,1
angeles,10
angelesbased,1
angered,1
angry,1
animals,3
animated,1
animosity,1
aniston,1
annalise,2
anniversary,2
announcedapple,1
announcedcybertrailsthe,1
announcement,4
announcements,1
announces,2
announcing,2
annoying,1
annual,5
annually,2
anonymity,1
answer,2
anthem,1
anthony,3
anticipated,3
anticipates,1
anticompetitive,3
antifraud,1
antiharassment,1
antiheroesin,1
antimuslim,1
antiquated,1
antitrust,9
anxiety,1
anymore,2
anymoretwo,1
anyone,3
anything,3
apart,1
apartheid,1
apocalyptic,1
app,12
apparel,1
apparent,2
appeal,2
appealed,1
appealing,1
appear,2
appeared,2
appears,1
appetite,1
applemagna,1
apples,1
applicable,1
apply,2
appointed,1
appointments,1
appreciated,1
approach,3
approval,4
approvalhulu,1
approved,3
apps,3
apron,1
aptmr,1
apuzzo,1
arabia,3
arabias,1
aramco,1
arbitration,1
arbitrator,1
architect,1
archival,1
ardent,1
areas,4
arent,7
argo,1
argue,3
argues,5
arguethe,1
arguing,2
argument,1
arguments,1
argumentsunless,1
arm,3
armoh,1
arms,3
army,1
armyone,1
armys,1
aroundnetflix,1
array,1
arrest,2
arrestin,1
arrestncaa,1
arrival,1
arrived,3
arrivedthe,1
arrives,4
arrogance,1
arsenal,1
art,1
arthur,4
article,2
articles,1
artificial,3
arts,1
ascent,1
ashare,1
ashitey,1
asia,1
asian,1
asianamerican,1
aspects,2
